"level_id","stronghold","wave_index","event_type","archetype","spawn_count","trigger_on_remaining","duration_sec","hold_duration_sec","defense_target_hp","design_intent"
"LEVEL_04","Stronghold_03","0","HoldPoint","tank","0","-1","0","8","0","强制站位，测试控场与资源轮转（第三战区）"
"LEVEL_04","Stronghold_03","1","Reinforcement","rusher","5","6","0","0","0","加压补兵，抬升清线负荷（第三战区）"
"LEVEL_04","Stronghold_03","2","ProtectTarget","tank","5","-1","0","0","320","保护高价值目标，放大失误成本（第三战区）"
"LEVEL_04","Stronghold_03","3","Chase","rusher","3","-1","10","0","0","追击逼位，打断站桩输出（第三战区）"
"LEVEL_04","Stronghold_03","4","Reinforcement","elite","6","8","0","0","0","加压补兵，抬升清线负荷（第三战区）"
"LEVEL_05","Stronghold_01","0","Chase","rusher","2","-1","8","0","0","追击逼位，打断站桩输出"
"LEVEL_05","Stronghold_01","1","Reinforcement","rusher","4","4","0","0","0","加压补兵，抬升清线负荷"
"LEVEL_05","Stronghold_01","2","HoldPoint","tank","0","-1","0","10","0","强制站位，测试控场与资源轮转"
"LEVEL_05","Stronghold_01","3","ProtectTarget","elite","5","-1","0","0","300","保护高价值目标，放大失误成本"
"LEVEL_05","Stronghold_02","0","HoldPoint","tank","0","-1","0","8","0","强制站位，测试控场与资源轮转"
"LEVEL_05","Stronghold_02","1","Chase","rusher","2","-1","10","0","0","追击逼位，打断站桩输出"
"LEVEL_05","Stronghold_02","2","Reinforcement","rusher","5","6","0","0","0","加压补兵，抬升清线负荷"
"LEVEL_05","Stronghold_02","3","ProtectTarget","elite","5","-1","0","0","320","保护高价值目标，放大失误成本"
"LEVEL_05","Stronghold_02","4","Reinforcement","elite","6","8","0","0","0","加压补兵，抬升清线负荷"
"LEVEL_05","Stronghold_03","0","HoldPoint","tank","0","-1","0","8","0","强制站位，测试控场与资源轮转（第三战区）"
"LEVEL_05","Stronghold_03","1","Chase","rusher","3","-1","10","0","0","追击逼位，打断站桩输出（第三战区）"
"LEVEL_05","Stronghold_03","2","Reinforcement","rusher","6","6","0","0","0","加压补兵，抬升清线负荷（第三战区）"
"LEVEL_05","Stronghold_03","3","ProtectTarget","elite","6","-1","0","0","360","保护高价值目标，放大失误成本（第三战区）"
"LEVEL_05","Stronghold_03","4","Reinforcement","elite","7","8","0","0","0","加压补兵，抬升清线负荷（第三战区）"
"LEVEL_06","Stronghold_01","0","HoldPoint","tank","0","-1","0","10","0","强制站位，测试控场与资源轮转"
"LEVEL_06","Stronghold_01","1","ProtectTarget","elite","5","-1","0","0","320","保护高价值目标，放大失误成本"
"LEVEL_06","Stronghold_01","2","Reinforcement","rusher","5","5","0","0","0","加压补兵，抬升清线负荷"
"LEVEL_06","Stronghold_01","3","Chase","rusher","2","-1","10","0","0","追击逼位，打断站桩输出"
"LEVEL_06","Stronghold_02","0","Reinforcement","rusher","5","6","0","0","0","加压补兵，抬升清线负荷"
"LEVEL_06","Stronghold_02","1","HoldPoint","tank","0","-1","0","12","0","强制站位，测试控场与资源轮转"
"LEVEL_06","Stronghold_02","2","Chase","rusher","2","-1","12","0","0","追击逼位，打断站桩输出"
"LEVEL_06","Stronghold_02","3","ProtectTarget","elite","6","-1","0","0","340","保护高价值目标，放大失误成本"
"LEVEL_06","Stronghold_02","4","Reinforcement","elite","6","8","0","0","0","加压补兵，抬升清线负荷"
"LEVEL_06","Stronghold_03","0","Reinforcement","rusher","6","6","0","0","0","加压补兵，抬升清线负荷（第三战区）"
"LEVEL_06","Stronghold_03","1","HoldPoint","tank","0","-1","0","12","0","强制站位，测试控场与资源轮转（第三战区）"
"LEVEL_06","Stronghold_03","2","Chase","rusher","3","-1","12","0","0","追击逼位，打断站桩输出（第三战区）"
"LEVEL_06","Stronghold_03","3","ProtectTarget","elite","7","-1","0","0","380","保护高价值目标，放大失误成本（第三战区）"
"LEVEL_06","Stronghold_03","4","Reinforcement","elite","7","8","0","0","0","加压补兵，抬升清线负荷（第三战区）"
"LEVEL_07","Stronghold_01","0","Chase","rusher","2","-1","10","0","0","追击逼位，打断站桩输出"
"LEVEL_07","Stronghold_01","1","Chase","rusher","2","-1","12","0","0","追击逼位，打断站桩输出"
"LEVEL_07","Stronghold_01","2","Reinforcement","elite","6","6","0","0","0","加压补兵，抬升清线负荷"
"LEVEL_07","Stronghold_01","3","ProtectTarget","elite","6","-1","0","0","360","保护高价值目标，放大失误成本"
"LEVEL_07","Stronghold_02","0","Reinforcement","elite","6","6","0","0","0","加压补兵，抬升清线负荷"
"LEVEL_07","Stronghold_02","1","Chase","rusher","2","-1","12","0","0","追击逼位，打断站桩输出"
"LEVEL_07","Stronghold_02","2","HoldPoint","tank","0","-1","0","12","0","强制站位，测试控场与资源轮转"
"LEVEL_07","Stronghold_02","3","Chase","rusher","2","-1","12","0","0","追击逼位，打断站桩输出"
"LEVEL_07","Stronghold_02","4","ProtectTarget","elite","7","-1","0","0","380","保护高价值目标，放大失误成本"
"LEVEL_07","Stronghold_03","0","Reinforcement","elite","7","6","0","0","0","加压补兵，抬升清线负荷（第三战区）"
"LEVEL_07","Stronghold_03","1","Chase","rusher","3","-1","12","0","0","追击逼位，打断站桩输出（第三战区）"
"LEVEL_07","Stronghold_03","2","HoldPoint","tank","0","-1","0","12","0","强制站位，测试控场与资源轮转（第三战区）"
"LEVEL_07","Stronghold_03","3","Chase","rusher","3","-1","12","0","0","追击逼位，打断站桩输出（第三战区）"
"LEVEL_07","Stronghold_03","4","ProtectTarget","elite","8","-1","0","0","420","保护高价值目标，放大失误成本（第三战区）"
"LEVEL_08","Stronghold_01","0","HoldPoint","tank","0","-1","0","12","0","强制站位，测试控场与资源轮转"
"LEVEL_08","Stronghold_01","1","HoldPoint","tank","0","-1","0","14","0","强制站位，测试控场与资源轮转"
"LEVEL_08","Stronghold_01","2","ProtectTarget","elite","7","-1","0","0","380","保护高价值目标，放大失误成本"
"LEVEL_08","Stronghold_01","3","Chase","rusher","2","-1","12","0","0","追击逼位，打断站桩输出"
"LEVEL_08","Stronghold_02","0","HoldPoint","tank","0","-1","0","12","0","强制站位，测试控场与资源轮转"
"LEVEL_08","Stronghold_02","1","Reinforcement","rusher","6","7","0","0","0","加压补兵，抬升清线负荷"
"LEVEL_08","Stronghold_02","2","ProtectTarget","elite","7","-1","0","0","400","保护高价值目标，放大失误成本"
"LEVEL_08","Stronghold_02","3","Chase","rusher","2","-1","12","0","0","追击逼位，打断站桩输出"
"LEVEL_08","Stronghold_02","4","Reinforcement","elite","7","9","0","0","0","加压补兵，抬升清线负荷"
"LEVEL_08","Stronghold_03","0","HoldPoint","tank","0","-1","0","12","0","强制站位，测试控场与资源轮转（第三战区）"
"LEVEL_08","Stronghold_03","1","Reinforcement","rusher","7","7","0","0","0","加压补兵，抬升清线负荷（第三战区）"
"LEVEL_08","Stronghold_03","2","ProtectTarget","elite","8","-1","0","0","440","保护高价值目标，放大失误成本（第三战区）"
"LEVEL_08","Stronghold_03","3","Chase","rusher","3","-1","12","0","0","追击逼位，打断站桩输出（第三战区）"
"LEVEL_08","Stronghold_03","4","Reinforcement","elite","8","9","0","0","0","加压补兵，抬升清线负荷（第三战区）"
"LEVEL_09","Stronghold_01","0","Reinforcement","elite","6","6","0","0","0","加压补兵，抬升清线负荷"
"LEVEL_09","Stronghold_01","1","Chase","rusher","2","-1","12","0","0","追击逼位，打断站桩输出"
"LEVEL_09","Stronghold_01","2","HoldPoint","tank","0","-1","0","12","0","强制站位，测试控场与资源轮转"
"LEVEL_09","Stronghold_01","3","ProtectTarget","elite","7","-1","0","0","400","保护高价值目标，放大失误成本"
"LEVEL_09","Stronghold_02","0","Chase","rusher","2","-1","12","0","0","追击逼位，打断站桩输出"
"LEVEL_09","Stronghold_02","1","Reinforcement","elite","7","7","0","0","0","加压补兵，抬升清线负荷"
"LEVEL_09","Stronghold_02","2","Chase","rusher","2","-1","14","0","0","追击逼位，打断站桩输出"
"LEVEL_09","Stronghold_02","3","HoldPoint","tank","0","-1","0","14","0","强制站位，测试控场与资源轮转"
"LEVEL_09","Stronghold_02","4","ProtectTarget","elite","8","-1","0","0","420","保护高价值目标，放大失误成本"
"LEVEL_09","Stronghold_03","0","Chase","rusher","3","-1","12","0","0","追击逼位，打断站桩输出（第三战区）"
"LEVEL_09","Stronghold_03","1","Reinforcement","elite","8","7","0","0","0","加压补兵，抬升清线负荷（第三战区）"
"LEVEL_09","Stronghold_03","2","Chase","rusher","3","-1","14","0","0","追击逼位，打断站桩输出（第三战区）"
"LEVEL_09","Stronghold_03","3","HoldPoint","tank","0","-1","0","14","0","强制站位，测试控场与资源轮转（第三战区）"
"LEVEL_09","Stronghold_03","4","ProtectTarget","elite","9","-1","0","0","460","保护高价值目标，放大失误成本（第三战区）"
"LEVEL_10","Stronghold_01","0","Reinforcement","elite","7","6","0","0","0","加压补兵，抬升清线负荷"
"LEVEL_10","Stronghold_01","1","Chase","rusher","2","-1","14","0","0","追击逼位，打断站桩输出"
"LEVEL_10","Stronghold_01","2","ProtectTarget","elite","8","-1","0","0","440","保护高价值目标，放大失误成本"
"LEVEL_10","Stronghold_01","3","HoldPoint","tank","0","-1","0","14","0","强制站位，测试控场与资源轮转"
"LEVEL_10","Stronghold_02","0","Chase","rusher","2","-1","14","0","0","追击逼位，打断站桩输出"
"LEVEL_10","Stronghold_02","1","Reinforcement","elite","8","8","0","0","0","加压补兵，抬升清线负荷"
"LEVEL_10","Stronghold_02","2","ProtectTarget","elite","9","-1","0","0","460","保护高价值目标，放大失误成本"
"LEVEL_10","Stronghold_02","3","HoldPoint","tank","0","-1","0","16","0","强制站位，测试控场与资源轮转"
"LEVEL_10","Stronghold_02","4","Reinforcement","elite","9","10","0","0","0","加压补兵，抬升清线负荷"
"LEVEL_10","Stronghold_03","0","Chase","rusher","3","-1","14","0","0","追击逼位，打断站桩输出（第三战区）"
"LEVEL_10","Stronghold_03","1","Reinforcement","elite","9","8","0","0","0","加压补兵，抬升清线负荷（第三战区）"
"LEVEL_10","Stronghold_03","2","ProtectTarget","elite","10","-1","0","0","500","保护高价值目标，放大失误成本（第三战区）"
"LEVEL_10","Stronghold_03","3","HoldPoint","tank","0","-1","0","16","0","强制站位，测试控场与资源轮转（第三战区）"
"LEVEL_10","Stronghold_03","4","Reinforcement","elite","10","10","0","0","0","加压补兵，抬升清线负荷（第三战区）"
