"level_id","scene_name","stronghold_id","sector_id","center","radius_m","entry_angle_deg","wave_window","pressure_role","base_mix","mix_profile","concurrent_cap","placement_note"
"LEVEL_03","Level_03_ThermalVents","Stronghold_02","LeftFlank","(-20,0,176)","5","-120","W1-W4","侧翼夹击","Grunt35|Rusher25|Ranged15|Tank18|Elite7|Suicide0","Base+Rusher(+4)","10","与FrontArc夹角>=60°，避免同轴推进"
"LEVEL_03","Level_03_ThermalVents","Stronghold_02","RightFlank","(8,0,176)","5","120","W2-W5","远近混合压迫","Grunt35|Rusher25|Ranged15|Tank18|Elite7|Suicide0","Base+Ranged/Controller(+4)","10","优先放在中距掩体后，确保可读火力线"
"LEVEL_03","Level_03_ThermalVents","BossGate","GateLeftIntercept","(10,0,224)","5","-45","PreBoss_A","门控前压测","Grunt35|Rusher25|Ranged15|Tank18|Elite7|Suicide0","Base+Elite(+3)","10","用于检测资源状态，不可造成不可逆锁死"
"LEVEL_03","Level_03_ThermalVents","BossGate","GateRightIntercept","(30,0,224)","5","45","PreBoss_B","门控前压测","Grunt35|Rusher25|Ranged15|Tank18|Elite7|Suicide0","Base+Rusher(+3)","10","与左侧形成双向压迫，但留一条回整缝"
"LEVEL_04","Level_04_CoralGrove","Stronghold_01","FrontArc","(-24,0,100)","6","0","W0-W3","正面拉扯","Grunt35|Rusher25|Ranged15|Tank18|Elite7|Suicide0","Base+Tank(+2)","11","主入口可见，避免与回流安全点重叠"
"LEVEL_04","Level_04_CoralGrove","Stronghold_01","LeftFlank","(-36,0,86)","5","-120","W1-W4","侧翼夹击","Grunt35|Rusher25|Ranged15|Tank18|Elite7|Suicide0","Base+Rusher(+4)","9","与FrontArc夹角>=60°，避免同轴推进"
"LEVEL_04","Level_04_CoralGrove","Stronghold_01","RightFlank","(-12,0,86)","5","120","W2-W5","远近混合压迫","Grunt35|Rusher25|Ranged15|Tank18|Elite7|Suicide0","Base+Ranged/Controller(+4)","9","优先放在中距掩体后，确保可读火力线"
"LEVEL_04","Level_04_CoralGrove","Stronghold_02","FrontArc","(12,0,196)","6","0","W0-W3","正面拉扯","Grunt35|Rusher25|Ranged15|Tank18|Elite7|Suicide0","Base+Tank(+2)","13","主入口可见，避免与回流安全点重叠"
"LEVEL_04","Level_04_CoralGrove","Stronghold_02","LeftFlank","(-2,0,180)","5","-120","W1-W4","侧翼夹击","Grunt35|Rusher25|Ranged15|Tank18|Elite7|Suicide0","Base+Rusher(+4)","10","与FrontArc夹角>=60°，避免同轴推进"
"LEVEL_04","Level_04_CoralGrove","Stronghold_02","RightFlank","(26,0,180)","5","120","W2-W5","远近混合压迫","Grunt35|Rusher25|Ranged15|Tank18|Elite7|Suicide0","Base+Ranged/Controller(+4)","10","优先放在中距掩体后，确保可读火力线"
"LEVEL_04","Level_04_CoralGrove","BossGate","GateLeftIntercept","(-20,0,226)","5","-45","PreBoss_A","门控前压测","Grunt35|Rusher25|Ranged15|Tank18|Elite7|Suicide0","Base+Elite(+3)","10","用于检测资源状态，不可造成不可逆锁死"
"LEVEL_04","Level_04_CoralGrove","BossGate","GateRightIntercept","(0,0,226)","5","45","PreBoss_B","门控前压测","Grunt35|Rusher25|Ranged15|Tank18|Elite7|Suicide0","Base+Rusher(+3)","10","与左侧形成双向压迫，但留一条回整缝"
"LEVEL_05","Level_05_SunkenCity","Stronghold_01","FrontArc","(24,0,108)","6","0","W0-W3","正面拉扯","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Tank(+2)","12","主入口可见，避免与回流安全点重叠"
"LEVEL_05","Level_05_SunkenCity","Stronghold_01","LeftFlank","(12,0,94)","5","-120","W1-W4","侧翼夹击","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Rusher(+4)","10","与FrontArc夹角>=60°，避免同轴推进"
"LEVEL_05","Level_05_SunkenCity","Stronghold_01","RightFlank","(36,0,94)","5","120","W2-W5","远近混合压迫","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Ranged/Controller(+4)","10","优先放在中距掩体后，确保可读火力线"
"LEVEL_05","Level_05_SunkenCity","Stronghold_01","RearPressure","(24,0,82)","4","180","W3-W5","后场反包","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Elite(+4)+Suicide(+2)","8","仅在玩家长时间站桩时激活，避免开局即背刺"
"LEVEL_05","Level_05_SunkenCity","Stronghold_02","FrontArc","(-22,0,202)","6","0","W0-W3","正面拉扯","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Tank(+2)","14","主入口可见，避免与回流安全点重叠"
"LEVEL_05","Level_05_SunkenCity","Stronghold_02","LeftFlank","(-36,0,186)","5","-120","W1-W4","侧翼夹击","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Rusher(+4)","11","与FrontArc夹角>=60°，避免同轴推进"
"LEVEL_05","Level_05_SunkenCity","Stronghold_02","RightFlank","(-8,0,186)","5","120","W2-W5","远近混合压迫","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Ranged/Controller(+4)","11","优先放在中距掩体后，确保可读火力线"
"LEVEL_05","Level_05_SunkenCity","Stronghold_02","RearPressure","(-22,0,172)","4","180","W4-W6","后场反包","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Elite(+4)+Suicide(+2)","9","仅在玩家长时间站桩时激活，避免开局即背刺"
"LEVEL_05","Level_05_SunkenCity","BossGate","GateLeftIntercept","(4,0,234)","5","-45","PreBoss_A","门控前压测","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Elite(+3)","11","用于检测资源状态，不可造成不可逆锁死"
"LEVEL_05","Level_05_SunkenCity","BossGate","GateRightIntercept","(24,0,234)","5","45","PreBoss_B","门控前压测","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Rusher(+3)","11","与左侧形成双向压迫，但留一条回整缝"
"LEVEL_06","Level_06_BlackTidePipes","Stronghold_01","FrontArc","(34,0,110)","6","0","W0-W3","正面拉扯","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Tank(+2)","12","主入口可见，避免与回流安全点重叠"
"LEVEL_06","Level_06_BlackTidePipes","Stronghold_01","LeftFlank","(22,0,96)","5","-120","W1-W4","侧翼夹击","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Rusher(+4)","10","与FrontArc夹角>=60°，避免同轴推进"
"LEVEL_06","Level_06_BlackTidePipes","Stronghold_01","RightFlank","(46,0,96)","5","120","W2-W5","远近混合压迫","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Ranged/Controller(+4)","10","优先放在中距掩体后，确保可读火力线"
"LEVEL_06","Level_06_BlackTidePipes","Stronghold_01","RearPressure","(34,0,84)","4","180","W3-W5","后场反包","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Elite(+4)+Suicide(+2)","8","仅在玩家长时间站桩时激活，避免开局即背刺"
"LEVEL_06","Level_06_BlackTidePipes","Stronghold_02","FrontArc","(-12,0,204)","6","0","W0-W3","正面拉扯","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Tank(+2)","14","主入口可见，避免与回流安全点重叠"
"LEVEL_06","Level_06_BlackTidePipes","Stronghold_02","LeftFlank","(-26,0,188)","5","-120","W1-W4","侧翼夹击","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Rusher(+4)","11","与FrontArc夹角>=60°，避免同轴推进"
"LEVEL_06","Level_06_BlackTidePipes","Stronghold_02","RightFlank","(2,0,188)","5","120","W2-W5","远近混合压迫","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Ranged/Controller(+4)","11","优先放在中距掩体后，确保可读火力线"
"LEVEL_06","Level_06_BlackTidePipes","Stronghold_02","RearPressure","(-12,0,174)","4","180","W4-W6","后场反包","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Elite(+4)+Suicide(+2)","9","仅在玩家长时间站桩时激活，避免开局即背刺"
"LEVEL_06","Level_06_BlackTidePipes","BossGate","GateLeftIntercept","(12,0,236)","5","-45","PreBoss_A","门控前压测","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Elite(+3)","11","用于检测资源状态，不可造成不可逆锁死"
"LEVEL_06","Level_06_BlackTidePipes","BossGate","GateRightIntercept","(32,0,236)","5","45","PreBoss_B","门控前压测","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Rusher(+3)","11","与左侧形成双向压迫，但留一条回整缝"
"LEVEL_07","Level_07_AbyssHangar","Stronghold_01","FrontArc","(-26,0,112)","6","0","W0-W3","正面拉扯","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Tank(+2)","12","主入口可见，避免与回流安全点重叠"
"LEVEL_07","Level_07_AbyssHangar","Stronghold_01","LeftFlank","(-38,0,98)","5","-120","W1-W4","侧翼夹击","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Rusher(+4)","10","与FrontArc夹角>=60°，避免同轴推进"
"LEVEL_07","Level_07_AbyssHangar","Stronghold_01","RightFlank","(-14,0,98)","5","120","W2-W5","远近混合压迫","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Ranged/Controller(+4)","10","优先放在中距掩体后，确保可读火力线"
"LEVEL_07","Level_07_AbyssHangar","Stronghold_01","RearPressure","(-26,0,86)","4","180","W3-W5","后场反包","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Elite(+4)+Suicide(+2)","8","仅在玩家长时间站桩时激活，避免开局即背刺"
"LEVEL_07","Level_07_AbyssHangar","Stronghold_02","FrontArc","(18,0,208)","6","0","W0-W3","正面拉扯","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Tank(+2)","14","主入口可见，避免与回流安全点重叠"
"LEVEL_07","Level_07_AbyssHangar","Stronghold_02","LeftFlank","(4,0,192)","5","-120","W1-W4","侧翼夹击","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Rusher(+4)","11","与FrontArc夹角>=60°，避免同轴推进"
"LEVEL_07","Level_07_AbyssHangar","Stronghold_02","RightFlank","(32,0,192)","5","120","W2-W5","远近混合压迫","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Ranged/Controller(+4)","11","优先放在中距掩体后，确保可读火力线"
"LEVEL_07","Level_07_AbyssHangar","Stronghold_02","RearPressure","(18,0,178)","4","180","W4-W6","后场反包","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Elite(+4)+Suicide(+2)","9","仅在玩家长时间站桩时激活，避免开局即背刺"
"LEVEL_07","Level_07_AbyssHangar","BossGate","GateLeftIntercept","(-24,0,238)","5","-45","PreBoss_A","门控前压测","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Elite(+3)","11","用于检测资源状态，不可造成不可逆锁死"
"LEVEL_07","Level_07_AbyssHangar","BossGate","GateRightIntercept","(-4,0,238)","5","45","PreBoss_B","门控前压测","Grunt28|Rusher24|Ranged14|Tank20|Elite12|Suicide2","Base+Rusher(+3)","11","与左侧形成双向压迫，但留一条回整缝"
"LEVEL_08","Level_08_MoltenRift","Stronghold_01","FrontArc","(-30,0,116)","6","0","W0-W3","正面拉扯","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Tank(+2)","13","主入口可见，避免与回流安全点重叠"
"LEVEL_08","Level_08_MoltenRift","Stronghold_01","LeftFlank","(-42,0,102)","5","-120","W1-W4","侧翼夹击","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Rusher(+4)","11","与FrontArc夹角>=60°，避免同轴推进"
"LEVEL_08","Level_08_MoltenRift","Stronghold_01","RightFlank","(-18,0,102)","5","120","W2-W5","远近混合压迫","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Ranged/Controller(+4)","11","优先放在中距掩体后，确保可读火力线"
"LEVEL_08","Level_08_MoltenRift","Stronghold_01","RearPressure","(-30,0,90)","4","180","W3-W5","后场反包","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Elite(+4)+Suicide(+2)","9","仅在玩家长时间站桩时激活，避免开局即背刺"
"LEVEL_08","Level_08_MoltenRift","Stronghold_01","HighGround","(-22,2.5,120)","5","45","W3-W6","高低差牵制","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Ranged/Controller(+6)","9","必须存在可反制上坡或侧梯路径"
"LEVEL_08","Level_08_MoltenRift","Stronghold_02","FrontArc","(24,0,212)","6","0","W0-W3","正面拉扯","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Tank(+2)","15","主入口可见，避免与回流安全点重叠"
"LEVEL_08","Level_08_MoltenRift","Stronghold_02","LeftFlank","(10,0,196)","5","-120","W1-W4","侧翼夹击","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Rusher(+4)","12","与FrontArc夹角>=60°，避免同轴推进"
"LEVEL_08","Level_08_MoltenRift","Stronghold_02","RightFlank","(38,0,196)","5","120","W2-W5","远近混合压迫","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Ranged/Controller(+4)","12","优先放在中距掩体后，确保可读火力线"
"LEVEL_08","Level_08_MoltenRift","Stronghold_02","RearPressure","(24,0,182)","4","180","W4-W6","后场反包","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Elite(+4)+Suicide(+2)","10","仅在玩家长时间站桩时激活，避免开局即背刺"
"LEVEL_08","Level_08_MoltenRift","Stronghold_02","HighGround","(32,2.5,214)","5","45","W3-W6","高低差牵制","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Ranged/Controller(+6)","10","必须存在可反制上坡或侧梯路径"
"LEVEL_08","Level_08_MoltenRift","BossGate","GateLeftIntercept","(-28,0,244)","5","-45","PreBoss_A","门控前压测","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Elite(+3)","12","用于检测资源状态，不可造成不可逆锁死"
"LEVEL_08","Level_08_MoltenRift","BossGate","GateRightIntercept","(-8,0,244)","5","45","PreBoss_B","门控前压测","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Rusher(+3)","12","与左侧形成双向压迫，但留一条回整缝"
"LEVEL_09","Level_09_StillTideSanctum","Stronghold_01","FrontArc","(32,0,118)","6","0","W0-W3","正面拉扯","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Tank(+2)","13","主入口可见，避免与回流安全点重叠"
"LEVEL_09","Level_09_StillTideSanctum","Stronghold_01","LeftFlank","(20,0,104)","5","-120","W1-W4","侧翼夹击","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Rusher(+4)","11","与FrontArc夹角>=60°，避免同轴推进"
"LEVEL_09","Level_09_StillTideSanctum","Stronghold_01","RightFlank","(44,0,104)","5","120","W2-W5","远近混合压迫","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Ranged/Controller(+4)","11","优先放在中距掩体后，确保可读火力线"
"LEVEL_09","Level_09_StillTideSanctum","Stronghold_01","RearPressure","(32,0,92)","4","180","W3-W5","后场反包","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Elite(+4)+Suicide(+2)","9","仅在玩家长时间站桩时激活，避免开局即背刺"
"LEVEL_09","Level_09_StillTideSanctum","Stronghold_01","HighGround","(40,2.5,122)","5","45","W3-W6","高低差牵制","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Ranged/Controller(+6)","9","必须存在可反制上坡或侧梯路径"
"LEVEL_09","Level_09_StillTideSanctum","Stronghold_02","FrontArc","(-24,0,216)","6","0","W0-W3","正面拉扯","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Tank(+2)","15","主入口可见，避免与回流安全点重叠"
"LEVEL_09","Level_09_StillTideSanctum","Stronghold_02","LeftFlank","(-38,0,200)","5","-120","W1-W4","侧翼夹击","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Rusher(+4)","12","与FrontArc夹角>=60°，避免同轴推进"
"LEVEL_09","Level_09_StillTideSanctum","Stronghold_02","RightFlank","(-10,0,200)","5","120","W2-W5","远近混合压迫","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Ranged/Controller(+4)","12","优先放在中距掩体后，确保可读火力线"
"LEVEL_09","Level_09_StillTideSanctum","Stronghold_02","RearPressure","(-24,0,186)","4","180","W4-W6","后场反包","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Elite(+4)+Suicide(+2)","10","仅在玩家长时间站桩时激活，避免开局即背刺"
"LEVEL_09","Level_09_StillTideSanctum","Stronghold_02","HighGround","(-16,2.5,218)","5","45","W3-W6","高低差牵制","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Ranged/Controller(+6)","10","必须存在可反制上坡或侧梯路径"
"LEVEL_09","Level_09_StillTideSanctum","BossGate","GateLeftIntercept","(10,0,248)","5","-45","PreBoss_A","门控前压测","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Elite(+3)","12","用于检测资源状态，不可造成不可逆锁死"
"LEVEL_09","Level_09_StillTideSanctum","BossGate","GateRightIntercept","(30,0,248)","5","45","PreBoss_B","门控前压测","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Rusher(+3)","12","与左侧形成双向压迫，但留一条回整缝"
"LEVEL_10","Level_10_HiveCore","Stronghold_01","FrontArc","(26,0,124)","6","0","W0-W3","正面拉扯","Grunt15|Rusher20|Ranged18|Tank22|Elite18|Suicide7","Base+Tank(+2)","13","主入口可见，避免与回流安全点重叠"
"LEVEL_10","Level_10_HiveCore","Stronghold_01","LeftFlank","(14,0,110)","5","-120","W1-W4","侧翼夹击","Grunt15|Rusher20|Ranged18|Tank22|Elite18|Suicide7","Base+Rusher(+4)","11","与FrontArc夹角>=60°，避免同轴推进"
"LEVEL_10","Level_10_HiveCore","Stronghold_01","RightFlank","(38,0,110)","5","120","W2-W5","远近混合压迫","Grunt15|Rusher20|Ranged18|Tank22|Elite18|Suicide7","Base+Ranged/Controller(+4)","11","优先放在中距掩体后，确保可读火力线"
"LEVEL_10","Level_10_HiveCore","Stronghold_01","RearPressure","(26,0,98)","4","180","W3-W5","后场反包","Grunt15|Rusher20|Ranged18|Tank22|Elite18|Suicide7","Base+Elite(+4)+Suicide(+2)","9","仅在玩家长时间站桩时激活，避免开局即背刺"
"LEVEL_10","Level_10_HiveCore","Stronghold_01","HighGround","(34,2.5,128)","5","45","W3-W6","高低差牵制","Grunt15|Rusher20|Ranged18|Tank22|Elite18|Suicide7","Base+Ranged/Controller(+6)","9","必须存在可反制上坡或侧梯路径"
"LEVEL_10","Level_10_HiveCore","Stronghold_02","FrontArc","(-28,0,222)","6","0","W0-W3","正面拉扯","Grunt15|Rusher20|Ranged18|Tank22|Elite18|Suicide7","Base+Tank(+2)","15","主入口可见，避免与回流安全点重叠"
"LEVEL_10","Level_10_HiveCore","Stronghold_02","LeftFlank","(-42,0,206)","5","-120","W1-W4","侧翼夹击","Grunt15|Rusher20|Ranged18|Tank22|Elite18|Suicide7","Base+Rusher(+4)","12","与FrontArc夹角>=60°，避免同轴推进"
"LEVEL_10","Level_10_HiveCore","Stronghold_02","RightFlank","(-14,0,206)","5","120","W2-W5","远近混合压迫","Grunt15|Rusher20|Ranged18|Tank22|Elite18|Suicide7","Base+Ranged/Controller(+4)","12","优先放在中距掩体后，确保可读火力线"
"LEVEL_10","Level_10_HiveCore","Stronghold_02","RearPressure","(-28,0,192)","4","180","W4-W6","后场反包","Grunt15|Rusher20|Ranged18|Tank22|Elite18|Suicide7","Base+Elite(+4)+Suicide(+2)","10","仅在玩家长时间站桩时激活，避免开局即背刺"
"LEVEL_10","Level_10_HiveCore","Stronghold_02","HighGround","(-20,2.5,224)","5","45","W3-W6","高低差牵制","Grunt15|Rusher20|Ranged18|Tank22|Elite18|Suicide7","Base+Ranged/Controller(+6)","10","必须存在可反制上坡或侧梯路径"
"LEVEL_10","Level_10_HiveCore","BossGate","GateLeftIntercept","(8,0,256)","5","-45","PreBoss_A","门控前压测","Grunt15|Rusher20|Ranged18|Tank22|Elite18|Suicide7","Base+Elite(+3)","12","用于检测资源状态，不可造成不可逆锁死"
"LEVEL_10","Level_10_HiveCore","BossGate","GateRightIntercept","(28,0,256)","5","45","PreBoss_B","门控前压测","Grunt15|Rusher20|Ranged18|Tank22|Elite18|Suicide7","Base+Rusher(+3)","12","与左侧形成双向压迫，但留一条回整缝"
"LEVEL_01","Level_01_TrenchRift","Stronghold_01","RearPressure","(14,0,80)","6","0","W3-W5","回流再压","Grunt45|Rusher25|Ranged20|Tank8|Elite2|Suicide0","Base+Elite(+2)","6","用于第三峰值段，防止据点A过早空场"
"LEVEL_01","Level_01_TrenchRift","Stronghold_02","RearPressure","(-16,0,186)","6","0","W4-W6","终段收口","Grunt45|Rusher25|Ranged20|Tank8|Elite2|Suicide0","Base+Elite(+4)","7","用于据点B第三峰值段，拉长清场与资源决策窗口"
"LEVEL_02","Level_02_WreckedStation","Stronghold_01","RearPressure","(20,0,86)","6","0","W3-W5","回流再压","Grunt45|Rusher25|Ranged20|Tank8|Elite2|Suicide0","Base+Elite(+2)","6","用于第三峰值段，防止据点A过早空场"
"LEVEL_02","Level_02_WreckedStation","Stronghold_02","RearPressure","(-10,0,180)","6","0","W4-W6","终段收口","Grunt45|Rusher25|Ranged20|Tank8|Elite2|Suicide0","Base+Elite(+4)","7","用于据点B第三峰值段，拉长清场与资源决策窗口"
"LEVEL_03","Level_03_ThermalVents","Stronghold_01","RearPressure","(28,0,92)","6","0","W3-W5","回流再压","Grunt35|Rusher25|Ranged15|Tank18|Elite7|Suicide0","Base+Elite(+2)","7","用于第三峰值段，防止据点A过早空场"
"LEVEL_03","Level_03_ThermalVents","Stronghold_02","RearPressure","(-6,0,182)","6","0","W4-W6","终段收口","Grunt35|Rusher25|Ranged15|Tank18|Elite7|Suicide0","Base+Elite(+4)","8","用于据点B第三峰值段，拉长清场与资源决策窗口"
"LEVEL_04","Level_04_CoralGrove","Stronghold_01","RearPressure","(-24,0,90)","6","0","W3-W5","回流再压","Grunt35|Rusher25|Ranged15|Tank18|Elite7|Suicide0","Base+Elite(+2)","7","用于第三峰值段，防止据点A过早空场"
"LEVEL_04","Level_04_CoralGrove","Stronghold_02","RearPressure","(12,0,186)","6","0","W4-W6","终段收口","Grunt35|Rusher25|Ranged15|Tank18|Elite7|Suicide0","Base+Elite(+4)","8","用于据点B第三峰值段，拉长清场与资源决策窗口"
"LEVEL_08","Level_08_MoltenRift","Stronghold_02","FinaleOvertime","(24,0,174)","4","180","W5-W6","终段延压","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Elite(+5)+Rusher(+3)","10","终盘据点B追加峰值，延长清场与资源博弈"
"LEVEL_08","Level_08_MoltenRift","BossGate","GateCenterRush","(-18,0,244)","5","0","PreBoss_C","门控终压","Grunt20|Rusher22|Ranged16|Tank22|Elite16|Suicide4","Base+Elite(+5)+Rusher(+3)","12","Boss前室第三门控，强制完成终盘资源审计"
