"gate","status","total","blocking","warnings","errors","csv","note"
"P0 Input Hint Subset","Skipped","0","0","1","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p0_input_hint_consistency_gate_report.csv","subset has no matching test cases under current filter"
"P1 Boss Quest Coupling Subset","Passed","1","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p1_boss_quest_coupling_gate_report.csv","total=1 passed=1 failed=0 skipped=0"
"P1 Boss Encounter Closure Subset","Passed","22","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p1_boss_encounter_closure_gate_report.csv","total=22 passed=22 failed=0 skipped=0"
"P1 Skill Boundary Subset","Skipped","0","0","1","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p1_skill_boundary_gate_report.csv","subset has no matching test cases under current filter"
"P1 Quest Economy Mid-Late Subset","Skipped","0","0","1","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p1_quest_economy_midlate_gate_report.csv","subset has no matching test cases under current filter"
"P2 Input Productization Subset","Skipped","0","0","1","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p2_input_productization_gate_report.csv","subset has no matching test cases under current filter"
"P2 UI Readability Subset","Skipped","0","0","1","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p2_ui_readability_gate_report.csv","subset has no matching test cases under current filter"
"P2 Localization Subset","Skipped","0","0","1","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p2_localization_regression_gate_report.csv","subset has no matching test cases under current filter"
"P2 Steam Runtime Subset","Skipped","0","0","1","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p2_steam_runtime_regression_gate_report.csv","subset has no matching test cases under current filter"
"P3 Boss Depth Subset","Passed","32","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p3_boss_depth_gate_report.csv","total=32 passed=32 failed=0 skipped=0"
"P5 Growth Economy Subset","Skipped","0","0","1","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p5_growth_economy_gate_report.csv","subset has no matching test cases under current filter"
