layer,key,status,source_count,sources,zh_cn,en_us,note
Reference,ui.level_flow.objective.complete_quests_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,瀹屾垚 {0} 涓换鍔?,Complete {0} quests,referenced_and_resolved
Reference,ui.level_flow.objective.none,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,无外目,No extra objectives,referenced_and_resolved
Reference,ui.level_flow.objective.score_target_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,目标分数：{0},Score Target: {0},referenced_and_resolved
Reference,ui.level_flow.objective.time_limit_minutes_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,限时：{0} 分钟,Time Limit: {0} min,referenced_and_resolved
Reference,ui.level_flow.prep.missing_talent_overlay,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,未找到天赋/装备面板。,Talent/Equipment panel not found.,referenced_and_resolved
Reference,ui.level_flow.prep.start_button,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,始战,Start Battle,referenced_and_resolved
Reference,ui.level_flow.prep.start_hint,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,鎸?Enter 寮€濮?,Press Enter to Start,referenced_and_resolved
Reference,ui.level_flow.prep.start_hint_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,鎸?{0} 寮€濮?,Press {0} to Start,referenced_and_resolved
Reference,ui.level_flow.result.combo_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,鏈€楂樿繛鍑伙細{0},Max Combo: {0},referenced_and_resolved
Reference,ui.level_flow.result.continue_button,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,继续,Continue,referenced_and_resolved
Reference,ui.level_flow.result.credits_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,+{0} 绉垎,+{0} Credits,referenced_and_resolved
Reference,ui.level_flow.result.defeat_title,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,鍏冲崱澶辫触,Level Failed,referenced_and_resolved
Reference,ui.level_flow.result.hint_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,{0}: 继续   {1}: 重试,{0}: Continue   {1}: Retry,referenced_and_resolved
Reference,ui.level_flow.result.kills_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,击杀：{0},Kills: {0},referenced_and_resolved
Reference,ui.level_flow.result.pearls_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,+{0} 珍珠,+{0} Pearls,referenced_and_resolved
Reference,ui.level_flow.result.progress_title,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,进度,Progress,referenced_and_resolved
Reference,ui.level_flow.result.retry_button,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,重试,Retry,referenced_and_resolved
Reference,ui.level_flow.result.rewards_title,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,濂栧姳,Rewards,referenced_and_resolved
Reference,ui.level_flow.result.stats_title,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,统,Stats,referenced_and_resolved
Reference,ui.level_flow.result.talent_points_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,+{0} 天赋,+{0} Talent Points,referenced_and_resolved
Reference,ui.level_flow.result.time_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,用时：{0},Time: {0},referenced_and_resolved
Reference,ui.level_flow.result.victory_title,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,鍏冲崱瀹屾垚,Level Complete,referenced_and_resolved
Reference,ui.level_flow.route.control,Ok,3,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,控制,Control,referenced_and_resolved
Reference,ui.level_flow.route.current_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,当前：{0},Current: {0},referenced_and_resolved
Reference,ui.level_flow.route.label,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,鎴愰暱璺嚎,Progress Route,referenced_and_resolved
Reference,ui.level_flow.route.offense,Ok,3,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,进攻,Offense,referenced_and_resolved
Reference,ui.level_flow.route.survival,Ok,3,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,鐢熷瓨,Survival,referenced_and_resolved
Reference,ui.main_menu.language.en_button,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs,鑻辨枃,English,referenced_and_resolved
Reference,ui.main_menu.language.label,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs,璇█,Language,referenced_and_resolved
Reference,ui.main_menu.language.zh_button,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs,绠€浣撲腑鏂?,Simplified Chinese,referenced_and_resolved
Reference,ui.main_menu.level_locked_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs,{0}（{1}）,{0} ({1}),referenced_and_resolved
Reference,ui.main_menu.locked_level_label,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs,??,Locked,referenced_and_resolved
Reference,ui.main_menu.next_level_reward_preview,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs,下一关励,Next Level Reward Preview,referenced_and_resolved
Reference,ui.main_menu.press_to_start_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs,鎸?{0} 寮€濮?,Press {0} to Start,referenced_and_resolved
Reference,ui.main_menu.preview_base_credits_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs,基础积分奖励：{0},Base Credits Reward: {0},referenced_and_resolved
Reference,ui.main_menu.preview_difficulty_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs,难度：{0}  |  推荐等级 {1},Difficulty: {0}  |  Recommended Level {1},referenced_and_resolved
Reference,ui.main_menu.quit_button,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs,閫€鍑?,Quit,referenced_and_resolved
Reference,ui.main_menu.select_level,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs,选择关卡,Select Level,referenced_and_resolved
Reference,ui.main_menu.start_game_button,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs,始游,Start Game,referenced_and_resolved
Reference,ui.quest.fallback.entry_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs,【{0}】{1},{0} - {1},referenced_and_resolved
Reference,ui.quest.progress.count_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs,进度 {0}/{1},{0}/{1},referenced_and_resolved
Reference,ui.quest.progress.time_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs,进度 {0}/{1},{0}/{1}s,referenced_and_resolved
Reference,ui.quest.stage_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs,{0}（{1}/{2}）,{0} ({1}/{2}),referenced_and_resolved
Reference,ui.quest.title,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs,任务追踪,Quest Tracker,referenced_and_resolved
Reference,ui.quest.type.boss_breaks,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs,触发 {0} 次领破,Trigger {0} boss breaks,referenced_and_resolved
Reference,ui.quest.type.boss_breaks_with_id,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs,瑙﹀彂 {0} 娆￠棰嗙牬闃诧紙{1}锛?,Trigger {0} boss breaks ({1}),referenced_and_resolved
Reference,ui.quest.type.clear_stronghold,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs,清除该据,Clear the stronghold,referenced_and_resolved
Reference,ui.quest.type.collect_items,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs,鏀堕泦 {0} 涓墿鍝?,Collect {0} items,referenced_and_resolved
Reference,ui.quest.type.complete_wave_events,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs,瀹屾垚 {0} 娆℃尝娆′簨浠?,Complete {0} wave events,referenced_and_resolved
Reference,ui.quest.type.complete_wave_events_of_type,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs,瀹屾垚 {0} 娆?{1} 浜嬩欢,Complete {0} {1} events,referenced_and_resolved
Reference,ui.quest.type.complete_waves,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs,完成 {0},Complete {0} waves,referenced_and_resolved
Reference,ui.quest.type.defeat_boss,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs,击败首,Defeat the boss,referenced_and_resolved
Reference,ui.quest.type.defeat_boss_id,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs,击败 {0},Defeat {0},referenced_and_resolved
Reference,ui.quest.type.kill_enemies,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs,击杀 {0} 名敌,Kill {0} enemies,referenced_and_resolved
Reference,ui.quest.type.kill_enemy_type,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs,击杀 {0} 名 {1},Kill {0} {1},referenced_and_resolved
Reference,ui.quest.type.protect_seconds,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs,淇濇姢鐩爣 {0} 绉?,Protect target for {0} seconds,referenced_and_resolved
Reference,ui.quest.type.reach_combo,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs,杈炬垚 {0} 杩炲嚮,Reach {0} combo,referenced_and_resolved
Reference,ui.quest.type.reach_marked_location,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs,到达标记地点,Reach the marked location,referenced_and_resolved
Reference,ui.quest.type.survive_seconds,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs,鐢熷瓨 {0} 绉?,Survive {0} seconds,referenced_and_resolved
Reference,ui.skill_bar.attack_hint_default,Ok,3,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_SkillBar.cs,轻击: 左键  重击: 右键,Light: LMB  Heavy: RMB,referenced_and_resolved
Reference,ui.skill_bar.attack_hint_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_SkillBar.cs,轻击: {0}  重击: {1},Light: {0}  Heavy: {1},referenced_and_resolved
Reference,ui.skill_bar.legend.burst,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_SkillBar.cs,爆发,Burst,referenced_and_resolved
Reference,ui.skill_bar.legend.crowd_control,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_SkillBar.cs,群控,Crowd Control,referenced_and_resolved
Reference,ui.skill_bar.legend.gather,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_SkillBar.cs,聚怪,Gather,referenced_and_resolved
Reference,ui.skill_bar.legend.mobility,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_SkillBar.cs,位移,Mobility,referenced_and_resolved
Reference,ui.stronghold.info,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_StrongholdWavePanel.cs,淇℃伅,Info,referenced_and_resolved
Reference,ui.stronghold.remaining_format,Ok,3,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_StrongholdWavePanel.cs,鍓╀綑 {0},Remaining {0},referenced_and_resolved
Reference,ui.stronghold.remaining_ratio_format,Ok,3,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_StrongholdWavePanel.cs,鍓╀綑 {0}/{1},Remaining {0}/{1},referenced_and_resolved
Reference,ui.stronghold.status.cleared,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_StrongholdWavePanel.cs,鎹偣娓呴櫎,Stronghold Cleared,referenced_and_resolved
Reference,ui.stronghold.status.started,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_StrongholdWavePanel.cs,战斗,Stronghold Battle Started,referenced_and_resolved
Reference,ui.stronghold.status.wave_completed,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_StrongholdWavePanel.cs,波 {0} 完成,Wave {0} Completed,referenced_and_resolved
Reference,ui.stronghold.status.wave_started,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_StrongholdWavePanel.cs,波 {0},Wave {0} Started,referenced_and_resolved
Reference,ui.stronghold.title,Ok,3,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_StrongholdWavePanel.cs,推进,Stronghold Progress,referenced_and_resolved
Reference,ui.stronghold.wave_format,Ok,3,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_StrongholdWavePanel.cs,波 {0}/{1} · {2},Wave {0}/{1} - {2},referenced_and_resolved
Reference,ui.talent.branch.control,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs,控制,Control,referenced_and_resolved
Reference,ui.talent.branch.offense,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs,进攻,Offense,referenced_and_resolved
Reference,ui.talent.branch.survival,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs,鐢熷瓨,Survival,referenced_and_resolved
Reference,ui.talent.close_hint_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs,{0} 关闭,Press {0} to Close,referenced_and_resolved
Reference,ui.talent.equipment.empty_slot,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs,锛堢┖锛?,(Empty),referenced_and_resolved
Reference,ui.talent.equipment.missing_system,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs,未找到装备系统。,Equipment system not found.,referenced_and_resolved
Reference,ui.talent.equipment.select,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs,选择,Select,referenced_and_resolved
