"asset_path","archetype","field","current_value","round1_value","note"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","Rusher","canDodge","true","true","保留"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","Rusher","dodgeChance","0.28","0.34","强化机动反应"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","Rusher","dodgeDistance","2.4(脚本默认)","2.8","拉开后再突进"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","Rusher","dodgeDuration","0.28(脚本默认)","0.22","动作更脆快"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","Rusher","dodgeCooldown","2.2(脚本默认)","1.8","提高重试频率"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","Rusher","canCharge","true","true","保留"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","Rusher","chargeChance","0.2(脚本默认)","0.4","形成突击特色"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","Rusher","chargeSpeed","11","12","冲锋压迫"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","Rusher","chargeWindup","0.3","0.26","更快起手"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","Rusher","chargeMinDistance","1.8(脚本默认)","1.6","近距也可冲锋"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","Rusher","chargeMaxDistance","4.2(脚本默认)","4.8","扩大触发窗口"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","Rusher","chargeDuration","0.45(脚本默认)","0.36","避免过长滑行"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","Rusher","chargeCooldown","3.5(脚本默认)","2.8","维持节奏"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","Rusher","canBlock","false","false","不引入防守拖节奏"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","Rusher","canFlee","false","false","保持进攻"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Tank.asset","Tank","chaseSpeed","2.4","2.4","维持慢压迫"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Tank.asset","Tank","stoppingDistance","2.2","2.4","避免贴身抖动"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Tank.asset","Tank","attackCooldown","2.4","2.2","提升威胁频率"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Tank.asset","Tank","attackWindup","0.65","0.6","减少笨重感"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Tank.asset","Tank","attackRecovery","0.7","0.78","重击后给玩家窗口"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Tank.asset","Tank","ringStandoffDistance","3.6","3.8","重装外圈站位"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Tank.asset","Tank","canBlock","true","true","保留核心特征"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Tank.asset","Tank","blockChance","0.35","0.52","提高重装防守感"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Tank.asset","Tank","blockDuration","0.45(脚本默认)","0.72","拉长格挡窗"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Tank.asset","Tank","blockCooldown","2.8(脚本默认)","2.3","防守循环稳定"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Tank.asset","Tank","blockDefenseBonus","6(脚本默认)","10","提高格挡收益"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Tank.asset","Tank","canDodge","false","false","不启用位移闪避"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Tank.asset","Tank","canCharge","false","false","避免角色重叠"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Tank.asset","Tank","canFlee","false","false","维持压阵"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","chaseSpeed","5.2","5.4","精英追击更坚决"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","stoppingDistance","1.2","1.1","加强近身压迫"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","attackCooldown","1.2","1.15","微调压迫节奏"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","attackWindup","0.3","0.27","增加抢手感"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","attackRecovery","0.4","0.38","缩短硬直"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","ringStandoffDistance","2.1","2.0","靠近战圈"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","canDodge","true","true","保留"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","dodgeChance","0.3","0.35","更积极规避"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","dodgeDistance","2.4(脚本默认)","2.6","拉扯位移"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","dodgeDuration","0.28(脚本默认)","0.24","动作干脆"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","dodgeCooldown","2.2(脚本默认)","1.9","提高重入频率"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","canBlock","true","true","保留"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","blockChance","0.25","0.32","提高防守决策占比"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","blockDuration","0.45(脚本默认)","0.58","适度拉长格挡窗口"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","blockCooldown","2.8(脚本默认)","2.4","保证节奏"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","blockDefenseBonus","6(脚本默认)","8","增加格挡收益"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","canCharge","true","true","保留"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","chargeChance","0.2(脚本默认)","0.32","战术突进"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","chargeSpeed","11.5","12.2","提高压迫"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","chargeWindup","0.35","0.3","更快起手"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","chargeMinDistance","1.8(脚本默认)","1.8","保持近距门槛"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","chargeMaxDistance","4.2(脚本默认)","5.0","提高远距威胁"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","chargeDuration","0.45(脚本默认)","0.4","减少滑行感"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","chargeCooldown","3.5(脚本默认)","3.1","保持存在感"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","Elite","canFlee","false","false","精英不撤退"
