key,status,old_zh,new_zh,note
ui.level_flow.result.pearls_format,Kept,+{0} 珍珠,+{0} 珍珠,clean
ui.level_flow.result.progress_title,Kept,进度,进度,clean
ui.level_flow.result.retry_button,Kept,重试,重试,clean
ui.level_flow.result.rewards_title,Kept,濂栧姳,濂栧姳,clean
ui.level_flow.result.stats_title,Kept,统,统,clean
ui.level_flow.result.talent_points_format,Kept,+{0} 天赋,+{0} 天赋,clean
ui.level_flow.result.time_format,Kept,用时：{0},用时：{0},clean
ui.level_flow.result.victory_title,Kept,鍏冲崱瀹屾垚,鍏冲崱瀹屾垚,clean
ui.level_flow.route.control,Kept,控制,控制,clean
ui.level_flow.route.current_format,Kept,当前：{0},当前：{0},clean
ui.level_flow.route.label,Kept,鎴愰暱璺嚎,鎴愰暱璺嚎,clean
ui.level_flow.route.offense,Kept,进攻,进攻,clean
ui.level_flow.route.survival,Kept,鐢熷瓨,鐢熷瓨,clean
ui.main_menu.language.label,Kept,璇█,璇█,clean
ui.main_menu.language.zh_button,Kept,绠€浣撲腑鏂?,绠€浣撲腑鏂?,suspicious_not_changed
ui.main_menu.language.en_button,Kept,鑻辨枃,鑻辨枃,clean
ui.skill_bar.legend.crowd_control,Kept,群控,群控,clean
ui.skill_bar.legend.burst,Kept,爆发,爆发,clean
ui.skill_bar.legend.mobility,Kept,位移,位移,clean
ui.skill_bar.legend.gather,Kept,聚怪,聚怪,clean
ui.skill_bar.attack_hint_default,Kept,轻击: 左键  重击: 右键,轻击: 左键  重击: 右键,clean
ui.skill_bar.attack_hint_format,Kept,轻击: {0}  重击: {1},轻击: {0}  重击: {1},clean
summary,count,130,0,done
